genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Anthocharis,gruneri,Anthocharis_gruneri,Female,Averaged_Flapping,Averaged,Flapping,0.1418,0.0506,0.142,0.0506,0.2082,0.1114,0.0447,0.0302
Anthocharis,gruneri,Anthocharis_gruneri,Female,White_Gliding,White,Gliding,1.0768,0.0012,1.0776,0.0012,2.881,0.0034,8.37E-05,7.53E-05
Anthocharis,gruneri,Anthocharis_gruneri,Female,White_Flapping,White,Flapping,0.8147,0.2049,0.8161,0.205,1.1497,0.538,0.2438,0.164
Anthocharis,gruneri,Anthocharis_gruneri,Male,Patterned_Gliding,Patterned,Gliding,0.1816,0.0008,0.1821,0.0008,0.2997,0.0007,2.94E-05,3.04E-05
Anthocharis,gruneri,Anthocharis_gruneri,Male,Patterned_Flapping,Patterned,Flapping,0.1041,0.0371,0.1046,0.0371,0.12,0.0634,0.0268,0.016
Anthocharis,gruneri,Anthocharis_gruneri,Male,Averaged_Gliding,Averaged,Gliding,0.0239,2.11E-05,0.024,2.12E-05,0.0598,5.49E-05,1.45E-06,1.58E-06
Anthocharis,gruneri,Anthocharis_gruneri,Male,Averaged_Flapping,Averaged,Flapping,0.0151,0.0052,0.0151,0.0052,0.0208,0.0121,0.0048,0.0031
Anthocharis,gruneri,Anthocharis_gruneri,Male,White_Gliding,White,Gliding,1.063,0.0009,1.065,0.0009,2.6571,0.0024,6.44E-05,7.00E-05
Anthocharis,gruneri,Anthocharis_gruneri,Male,White_Flapping,White,Flapping,0.8247,0.1951,0.8261,0.1952,1.0833,0.4974,0.232,0.1542
Apatura,ilia,Apatura_ilia,Female,Patterned_Gliding,Patterned,Gliding,0.359,0.0018,0.3597,0.0018,0.3075,0.0013,5.28E-05,8.51E-05
Apatura,ilia,Apatura_ilia,Female,Patterned_Flapping,Patterned,Flapping,0.1297,0.0542,0.13,0.0543,0.1036,0.0542,0.0317,0.0167
Apatura,ilia,Apatura_ilia,Female,Averaged_Gliding,Averaged,Gliding,0.0323,4.13E-05,0.0323,4.12E-05,0.0718,5.06E-05,1.22E-06,1.84E-06
Apatura,ilia,Apatura_ilia,Female,Averaged_Flapping,Averaged,Flapping,0.0271,0.0052,0.0271,0.0052,0.0324,0.0122,0.0067,0.0045
Apatura,ilia,Apatura_ilia,Female,White_Gliding,White,Gliding,1.017,0.0013,1.0175,0.0013,2.2606,0.0016,3.84E-05,5.81E-05
Apatura,ilia,Apatura_ilia,Female,White_Flapping,White,Flapping,0.7539,0.1925,0.7547,0.1923,0.9394,0.4204,0.2002,0.138
Apatura,ilia,Apatura_ilia,Male,Patterned_Gliding,Patterned,Gliding,0.2732,0.0011,0.2734,0.0011,0.2504,0.0008,3.19E-05,4.60E-05
Apatura,ilia,Apatura_ilia,Male,Patterned_Flapping,Patterned,Flapping,0.1074,0.0389,0.1078,0.0389,0.0944,0.0441,0.0271,0.0132
Apatura,ilia,Apatura_ilia,Male,Averaged_Gliding,Averaged,Gliding,0.0573,7.44E-05,0.0573,7.44E-05,0.1197,9.92E-05,2.29E-06,3.25E-06
Apatura,ilia,Apatura_ilia,Male,Averaged_Flapping,Averaged,Flapping,0.0425,0.0091,0.0426,0.0091,0.051,0.0209,0.0108,0.0076
Apatura,ilia,Apatura_ilia,Male,White_Gliding,White,Gliding,1.0559,0.0014,1.0573,0.0014,2.2071,0.0018,4.22E-05,5.99E-05
